verschaffen	provide
souverän(zoVerena)/zuversichtlich/selbstsicher/selbstbewusst	confident
von etwas haben	benefit (what do I get from?)
auf seinem(ihrem/meinem weg)/unterwegs sein	(while)/on my way
jdm zustimmen/einer(meiner/deiner) meinung sein/etwas annehmen/akzeptieren	accept
widersprechen/sich weigern(?)/ablehnen(?)	disagree/refuse to do something/?
drängen/drängeln	push/push (with time constraints)
vorbeikommen	pass by/ignore
abbiegen	turn (walking/navigating)
geradeaus	straight ahead
inzwischen/mittleweile	meanwhile
absichtlich	on purpose (synonym: deliberately)
sich warm anziehen	be prepared
eine Lüge erzählen	lie
everywhere	überall
knusprig/knackig/kurz und knackig	çıkan ses: cips/salata/short and simple
aufsetzen	prepare/draw up
daher weht der Wind	so that's whole reason why
pilot	trial run, first attempt
überstürzen	do something in a rush
sich gut/schlecht anhören	sounds good/bad
Kohldampf haben	starve
durchmachen	sabahlamak/go through, experience
reinhauen	punch
überrumpeln	catch off-guard/unexpected
lancieren	start/lunch
möglichst x	as x as possible
vorankommen	progress
durchbrechen	sonunda başarmak/break through
klarstellen	clarify
jdm. einfallen	come into mind
getrennt	separate/separately
selbstverständlich	of course
mitten ins Herz gehen	doğrudan kalbe gitmek
nach X klingen	sounds like X is talking
zusammenstellen	put together (team, ...)
in Sachen X	in terms of X (alternative for about)
verkacken	fuck up/mess up
Verantwortung tragen	being responsible
ungern	istemeden
verdienen	deserve/earn
